P_ID,EI_group,C1,C2,C3,C4,C5
P01,Medium,4,3,2,2,1
P02,High,5,7,3,2,1
P03,Low,3,2,2,5,2
P04,Medium,3,4,2,1,1
P05,High,4,6,3,1,1
P06,Low,2,2,2,4,2
P07,Low,2,1,1,5,2
P08,High,3,5,3,1,1
P09,High,6,8,3,1,1
P10,Low,3,3,2,2,0
P11,Medium,3,4,3,1,1
P12,High,4,6,4,2,1
P13,Low,3,1,2,5,2
P14,Medium,3,3,2,2,1
P15,High,6,7,4,2,1
P16,Low,2,3,2,2,1
P17,Low,1,1,1,3,1
P18,Medium,4,4,3,2,1
P19,Medium,3,2,3,2,1
P20,High,4,7,3,1,1
P21,Medium,3,4,3,2,1
P22,High,5,8,3,2,1
P23,Low,3,2,2,6,2
P24,Medium,4,3,3,1,1
P25,High,4,5,3,1,1
P26,Low,3,2,2,2,1
P27,Low,2,1,1,4,2
P28,High,3,6,3,2,1
P29,High,7,9,3,2,1
P30,Medium,3,3,2,2,1
P31,Medium,4,3,3,2,1
P32,High,5,6,3,2,1
P33,Low,2,2,2,5,1
P34,Medium,3,4,2,1,1
P35,High,5,8,3,1,1
P36,Low,3,2,3,3,1
P37,Low,1,1,2,3,1
P38,Medium,4,5,3,2,1
P39,Medium,3,3,3,2,1
P40,High,5,7,3,1,1
P41,Medium,4,3,3,3,1
P42,High,6,8,4,1,1
P43,Low,3,2,2,5,1
P44,Medium,3,4,3,1,1
P45,High,5,6,3,2,1
P46,Low,2,2,3,3,1
P47,Low,2,1,2,5,1
P48,Medium,4,5,3,2,1
P49,High,7,9,4,1,1
P50,Low,3,3,2,2,1
P51,Medium,4,3,3,2,1
P52,High,5,6,3,3,1
P53,Low,2,1,2,7,2
P54,Medium,3,4,3,1,1
P55,High,7,7,4,2,1
P56,Low,3,2,3,2,1
P57,Low,1,0,1,6,1
P58,Medium,4,4,3,2,1
P59,Medium,3,3,2,1,1
P60,High,6,7,3,2,1
P61,Medium,3,3,3,2,1
P62,High,6,7,3,2,1
P63,Low,2,1,2,7,3
P64,Medium,4,4,3,2,1
P65,Low,3,3,2,2,1
P66,Low,1,1,2,5,1
P67,High,5,7,3,2,1
P68,Medium,4,3,3,2,1
P69,High,8,9,4,2,1
P70,Low,3,2,2,2,1
P71,High,5,5,3,2,1
P72,Medium,3,4,2,2,1
P73,Low,2,1,2,6,1
P74,High,5,6,3,2,1
P75,Medium,4,3,3,3,1
P76,Low,2,2,3,2,1
P77,Low,1,0,1,5,1
P78,High,7,8,3,2,1
P79,Medium,3,3,2,2,1
P80,High,5,5,3,2,1
P81,Medium,4,3,3,2,1
P82,High,6,8,4,1,1
P83,Low,2,1,2,6,1
P84,Medium,4,4,3,3,1
P85,Low,3,3,2,2,1
P86,Low,1,1,2,6,1
P87,High,6,7,3,1,1
P88,Medium,4,5,3,2,1
P89,High,7,9,4,1,1
P90,Low,3,2,3,1,1
P91,High,5,5,3,2,1
P92,Medium,3,4,2,2,1
P93,Low,2,1,2,7,2
P94,High,5,6,3,2,1
P95,Medium,4,3,3,3,1
P96,Low,2,2,3,2,1
P97,Low,1,0,1,8,1
P98,High,7,8,3,2,1
P99,Medium,3,3,2,2,1
P100,High,5,5,3,2,1
