P_ID,EQ,EI_group
P01,112,Medium
P02,138,High
P03,85,Low
P04,105,Medium
P05,122,High
P06,94,Low
P07,78,Low
P08,118,High
P09,142,High
P10,101,Low
P11,110,Medium
P12,125,High
P13,82,Low
P14,108,Medium
P15,130,High
P16,91,Low
P17,68,Low
P18,115,Medium
P19,104,Medium
P20,128,High
P21,111,Medium
P22,135,High
P23,87,Low
P24,106,Medium
P25,120,High
P26,95,Low
P27,79,Low
P28,119,High
P29,140,High
P30,103,Medium
P31,108,Medium
P32,127,High
P33,81,Low
P34,107,Medium
P35,131,High
P36,92,Low
P37,69,Low
P38,116,Medium
P39,105,Medium
P40,129,High
P41,113,Medium
P42,137,High
P43,84,Low
P44,104,Medium
P45,123,High
P46,93,Low
P47,77,Low
P48,117,Medium
P49,141,High
P50,102,Low
P51,110,Medium
P52,125,High
P53,82,Low
P54,108,Medium
P55,130,High
P56,91,Low
P57,68,Low
P58,115,Medium
P59,104,Medium
P60,128,High
P61,106,Medium
P62,132,High
P63,88,Low
P64,115,Medium
P65,102,Low
P66,74,Low
P67,128,High
P68,110,Medium
P69,145,High
P70,97,Low
P71,118,High
P72,108,Medium
P73,81,Low
P74,122,High
P75,114,Medium
P76,90,Low
P77,65,Low
P78,136,High
P79,103,Medium
P80,120,High
P81,109,Medium
P82,134,High
P83,86,Low
P84,112,Medium
P85,101,Low
P86,77,Low
P87,126,High
P88,116,Medium
P89,141,High
P90,93,Low
P91,119,High
P92,107,Medium
P93,83,Low
P94,124,High
P95,111,Medium
P96,89,Low
P97,67,Low
P98,139,High
P99,104,Medium
P100,121,High
