Variable,group1,group2,meandiff,p-adj,lower,upper,reject
TT,High,Low,-7.1176,0.0,-8.2851,-5.9501,True
TT,High,Medium,-5.5221,0.0,-6.7077,-4.3365,True
TT,Low,Medium,1.5956,0.0052,0.41,2.7812,True
C1,High,Low,-3.2353,0.0,-3.7367,-2.7339,True
C1,High,Medium,-1.9118,0.0,-2.4209,-1.4026,True
C1,Low,Medium,1.3235,0.0,0.8143,1.8327,True
C2,High,Low,-5.2647,0.0,-5.8344,-4.695,True
C2,High,Medium,-3.3217,0.0,-3.9002,-2.7432,True
C2,Low,Medium,1.943,0.0,1.3645,2.5216,True
C3,High,Low,-1.2353,0.0,-1.5283,-0.9423,True
C3,High,Medium,-0.5478,0.0001,-0.8454,-0.2502,True
C3,Low,Medium,0.6875,0.0,0.3899,0.9851,True
C4,High,Low,2.4412,0.0,1.7386,3.1438,True
C4,High,Medium,0.2298,0.7244,-0.4837,0.9433,False
C4,Low,Medium,-2.2114,0.0,-2.9249,-1.4979,True
C5,High,Low,0.2647,0.0039,0.0737,0.4557,True
C5,High,Medium,0.0,1.0,-0.194,0.194,False
C5,Low,Medium,-0.2647,0.0045,-0.4587,-0.0707,True
TI,High,Low,-6.1471,0.0,-8.5936,-3.7006,True
TI,High,Medium,-6.825,0.0,-9.3094,-4.3406,True
TI,Low,Medium,-0.6779,0.7931,-3.1624,1.8065,False
RelSol,High,Low,-23.0059,0.0,-26.4538,-19.558,True
RelSol,High,Medium,-9.6256,0.0,-13.1269,-6.1242,True
RelSol,Low,Medium,13.3803,0.0,9.879,16.8817,True
